Body Posture,DateTime

Normal, 2025-04-14 04:17:45
Normal, 2025-04-14 04:17:46
Surrender, 2025-04-14 04:17:46
Surrender, 2025-04-14 04:17:47
Surrender, 2025-04-14 04:17:47
Surrender, 2025-04-14 04:17:47
Surrender, 2025-04-14 04:17:47
Surrender, 2025-04-14 04:17:47
Normal, 2025-04-14 04:17:48
Normal, 2025-04-14 04:17:48
Normal, 2025-04-14 04:17:48
Normal, 2025-04-14 04:17:48
Normal, 2025-04-14 04:17:49
Normal, 2025-04-14 04:17:49
Normal, 2025-04-14 04:17:49
Normal, 2025-04-14 04:17:49
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:57
Normal, 2025-04-14 04:17:57
Surrender, 2025-04-14 04:17:57
Surrender, 2025-04-14 04:17:57
Surrender, 2025-04-14 04:17:57
Surrender, 2025-04-14 04:17:58
Surrender, 2025-04-14 04:17:58
Surrender, 2025-04-14 04:17:58
Surrender, 2025-04-14 04:17:58
Surrender, 2025-04-14 04:17:59
Surrender, 2025-04-14 04:17:59
Surrender, 2025-04-14 04:17:59
Surrender, 2025-04-14 04:17:59
Surrender, 2025-04-14 04:18:00
Surrender, 2025-04-14 04:18:00
Surrender, 2025-04-14 04:18:00
Surrender, 2025-04-14 04:18:00
Surrender, 2025-04-14 04:18:01
Surrender, 2025-04-14 04:18:01
Surrender, 2025-04-14 04:18:01
Surrender, 2025-04-14 04:18:01
Surrender, 2025-04-14 04:18:02
Surrender, 2025-04-14 04:18:02
Surrender, 2025-04-14 04:18:02
Surrender, 2025-04-14 04:18:02
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:04
Surrender, 2025-04-14 04:18:04
Surrender, 2025-04-14 04:18:04
Surrender, 2025-04-14 04:18:04
Surrender, 2025-04-14 04:18:05
Surrender, 2025-04-14 04:18:05
Surrender, 2025-04-14 04:18:05
Surrender, 2025-04-14 04:18:05
Surrender, 2025-04-14 04:18:06
Surrender, 2025-04-14 04:18:06
Surrender, 2025-04-14 04:18:06
Surrender, 2025-04-14 04:18:06
Surrender, 2025-04-14 04:18:07
Surrender, 2025-04-14 04:18:07
Surrender, 2025-04-14 04:18:07
Surrender, 2025-04-14 04:18:07
Surrender, 2025-04-14 04:18:07
Surrender, 2025-04-14 04:18:08
Surrender, 2025-04-14 04:18:08
Surrender, 2025-04-14 04:18:08
Surrender, 2025-04-14 04:18:08
Surrender, 2025-04-14 04:18:09
Surrender, 2025-04-14 04:18:09
Surrender, 2025-04-14 04:18:09
Normal, 2025-04-14 04:18:09
Surrender, 2025-04-14 04:18:09
Normal, 2025-04-14 04:18:10
Normal, 2025-04-14 04:18:10
Normal, 2025-04-14 04:18:10
Normal, 2025-04-14 04:18:10
Normal, 2025-04-14 04:18:10
Normal, 2025-04-14 04:18:11
Normal, 2025-04-14 04:23:00
Normal, 2025-04-14 04:23:02
Normal, 2025-04-14 04:23:03
Normal, 2025-04-14 04:23:03
Normal, 2025-04-14 04:23:03
Normal, 2025-04-14 04:23:04
Normal, 2025-04-14 04:23:04
Normal, 2025-04-14 04:23:04
Normal, 2025-04-14 04:23:05
Normal, 2025-04-14 04:23:05
Normal, 2025-04-14 04:23:05
Normal, 2025-04-14 04:23:05
Normal, 2025-04-14 04:23:06
Normal, 2025-04-14 04:23:06
Normal, 2025-04-14 04:23:06
Normal, 2025-04-14 04:23:06
Normal, 2025-04-14 04:23:06
Normal, 2025-04-14 04:23:07
Normal, 2025-04-14 04:23:07
Normal, 2025-04-14 04:23:07
Normal, 2025-04-14 04:23:07
Normal, 2025-04-14 04:23:07
Normal, 2025-04-14 04:23:08
Normal, 2025-04-14 04:23:08
Normal, 2025-04-14 04:23:08
Normal, 2025-04-14 04:23:08
Normal, 2025-04-14 04:23:08
Normal, 2025-04-14 04:23:09
Normal, 2025-04-14 04:23:09
Normal, 2025-04-14 04:23:09
Normal, 2025-04-14 04:23:09
Normal, 2025-04-14 04:23:09
Normal, 2025-04-14 04:23:10
Normal, 2025-04-14 04:23:10
Normal, 2025-04-14 04:23:10
Normal, 2025-04-14 04:23:10
Normal, 2025-04-14 04:23:11
Normal, 2025-04-14 04:23:11
Normal, 2025-04-14 04:23:11
Normal, 2025-04-14 04:23:11
Normal, 2025-04-14 04:23:12
Normal, 2025-04-14 04:23:12
Normal, 2025-04-14 04:23:12
Normal, 2025-04-14 04:23:12
Normal, 2025-04-14 04:23:13
Normal, 2025-04-14 04:23:13
Normal, 2025-04-14 04:23:13
Normal, 2025-04-14 04:23:13
Normal, 2025-04-14 04:23:13
Normal, 2025-04-14 04:23:14
Normal, 2025-04-14 04:23:14
Normal, 2025-04-14 04:23:14
Normal, 2025-04-14 04:23:14
Normal, 2025-04-14 04:23:14
Normal, 2025-04-14 04:23:15
Normal, 2025-04-14 04:23:15
Normal, 2025-04-14 04:23:15
Normal, 2025-04-14 04:23:15
Normal, 2025-04-14 04:23:16
Normal, 2025-04-14 04:23:16
Normal, 2025-04-14 04:23:17
Normal, 2025-04-14 04:23:17
Normal, 2025-04-14 04:23:17
Normal, 2025-04-14 04:23:17
Normal, 2025-04-14 04:23:17
Normal, 2025-04-14 04:23:18
Normal, 2025-04-14 04:23:18
Normal, 2025-04-14 04:23:18
Normal, 2025-04-14 04:23:18
Normal, 2025-04-14 04:23:18
Normal, 2025-04-14 04:23:18
Normal, 2025-04-14 04:23:19
Normal, 2025-04-14 04:23:19
Normal, 2025-04-14 04:23:19
Normal, 2025-04-14 04:23:19
Normal, 2025-04-14 04:23:19
Normal, 2025-04-14 04:23:20
Normal, 2025-04-14 04:23:20
Normal, 2025-04-14 04:23:20
Normal, 2025-04-14 04:23:20
Normal, 2025-04-14 04:23:20
Normal, 2025-04-14 04:23:21
Normal, 2025-04-14 04:23:21
Normal, 2025-04-14 04:23:21
Normal, 2025-04-14 04:23:21
Normal, 2025-04-14 04:23:22
Normal, 2025-04-14 04:24:07
Normal, 2025-04-14 04:24:07
Normal, 2025-04-14 04:24:08
Normal, 2025-04-14 04:24:08
Normal, 2025-04-14 04:24:08
Normal, 2025-04-14 04:24:08
Normal, 2025-04-14 04:24:09
Normal, 2025-04-14 04:24:09
Normal, 2025-04-14 04:24:09
Normal, 2025-04-14 04:24:09
Normal, 2025-04-14 04:24:10
Normal, 2025-04-14 04:24:10
Normal, 2025-04-14 04:24:10
Normal, 2025-04-14 04:24:10
Normal, 2025-04-14 04:24:10
Normal, 2025-04-14 04:24:11
Normal, 2025-04-14 04:24:11
Normal, 2025-04-14 04:24:11
Normal, 2025-04-14 04:24:11
Normal, 2025-04-14 04:24:11
Normal, 2025-04-14 04:24:12
Normal, 2025-04-14 04:24:12
Normal, 2025-04-14 04:24:12
Normal, 2025-04-14 04:24:12
Normal, 2025-04-14 04:24:12
Normal, 2025-04-14 04:24:13
Normal, 2025-04-14 04:24:13
Normal, 2025-04-14 04:24:13
Normal, 2025-04-14 04:24:13
Normal, 2025-04-14 04:24:13
Normal, 2025-04-14 04:24:14
Surrender, 2025-04-14 04:24:14
Surrender, 2025-04-14 04:24:14
Surrender, 2025-04-14 04:24:14
Surrender, 2025-04-14 04:24:14
Surrender, 2025-04-14 04:24:15
Surrender, 2025-04-14 04:24:15
Surrender, 2025-04-14 04:24:15
Surrender, 2025-04-14 04:24:15
Surrender, 2025-04-14 04:24:15
Surrender, 2025-04-14 04:24:16
Surrender, 2025-04-14 04:24:16
Surrender, 2025-04-14 04:24:16
Surrender, 2025-04-14 04:24:16
Normal, 2025-04-14 04:24:16
Normal, 2025-04-14 04:24:17
Normal, 2025-04-14 04:24:17
Normal, 2025-04-14 04:24:17
Normal, 2025-04-14 04:24:17
Normal, 2025-04-14 04:24:17
Normal, 2025-04-14 04:24:18
Normal, 2025-04-14 04:24:18
Normal, 2025-04-14 04:24:18
Normal, 2025-04-14 04:24:18
Normal, 2025-04-14 04:24:18
Normal, 2025-04-14 04:24:19
Normal, 2025-04-14 04:24:19
Normal, 2025-04-14 04:24:19
Normal, 2025-04-14 04:24:19
Normal, 2025-04-14 04:24:19
Normal, 2025-04-14 04:24:20
Surrender, 2025-04-14 04:24:20
Surrender, 2025-04-14 04:24:20
Surrender, 2025-04-14 04:24:20
Surrender, 2025-04-14 04:24:20
Surrender, 2025-04-14 04:24:21
Surrender, 2025-04-14 04:24:21
Surrender, 2025-04-14 04:24:21
Surrender, 2025-04-14 04:24:21
Normal, 2025-04-14 04:24:21
Normal, 2025-04-14 04:24:22
Normal, 2025-04-14 04:24:22
Normal, 2025-04-14 04:24:22
Normal, 2025-04-14 04:24:22
Normal, 2025-04-14 04:24:22
Normal, 2025-04-14 04:24:23
Normal, 2025-04-14 04:24:23
Surrender, 2025-04-14 04:24:23
Surrender, 2025-04-14 04:24:23
Surrender, 2025-04-14 04:24:23
Surrender, 2025-04-14 04:24:24
Surrender, 2025-04-14 04:24:24
Surrender, 2025-04-14 04:24:24
Surrender, 2025-04-14 04:24:24
Surrender, 2025-04-14 04:24:24
Surrender, 2025-04-14 04:24:25
Surrender, 2025-04-14 04:24:25
Surrender, 2025-04-14 04:24:25
Surrender, 2025-04-14 04:24:25
Surrender, 2025-04-14 04:24:25
Surrender, 2025-04-14 04:24:26
Surrender, 2025-04-14 04:24:26
Surrender, 2025-04-14 04:24:26
Surrender, 2025-04-14 04:24:26
Surrender, 2025-04-14 04:24:26
Surrender, 2025-04-14 04:24:27
Surrender, 2025-04-14 04:24:27
Surrender, 2025-04-14 04:24:27
Surrender, 2025-04-14 04:24:27
Surrender, 2025-04-14 04:24:28
Surrender, 2025-04-14 04:24:28
Surrender, 2025-04-14 04:24:28
Surrender, 2025-04-14 04:24:28
Surrender, 2025-04-14 04:24:28
Surrender, 2025-04-14 04:24:29
Surrender, 2025-04-14 04:24:29
Surrender, 2025-04-14 04:24:29
Surrender, 2025-04-14 04:24:29
Surrender, 2025-04-14 04:24:30
Surrender, 2025-04-14 04:24:30
Surrender, 2025-04-14 04:24:30
Surrender, 2025-04-14 04:24:31
Surrender, 2025-04-14 04:24:31
Surrender, 2025-04-14 04:24:31
Normal, 2025-04-14 04:24:31
Normal, 2025-04-14 04:24:32
Normal, 2025-04-14 04:24:32
Normal, 2025-04-14 04:24:32
Normal, 2025-04-14 04:24:33
Normal, 2025-04-14 04:24:33
Normal, 2025-04-14 04:24:33
Normal, 2025-04-14 04:24:33
Normal, 2025-04-14 04:24:34
Normal, 2025-04-14 04:24:34
Normal, 2025-04-14 04:24:34
Normal, 2025-04-14 04:24:35
Normal, 2025-04-14 04:24:35
Normal, 2025-04-14 04:24:35
Normal, 2025-04-14 04:24:35
Normal, 2025-04-14 04:24:36
Normal, 2025-04-14 04:24:36
Normal, 2025-04-14 04:24:36
Normal, 2025-04-14 04:24:36
Normal, 2025-04-14 04:24:37
Normal, 2025-04-14 04:24:37
Normal, 2025-04-14 04:24:37
Normal, 2025-04-14 04:24:37
Normal, 2025-04-14 04:24:38
Normal, 2025-04-14 04:24:38
Normal, 2025-04-14 04:24:38
Normal, 2025-04-14 04:24:38
Normal, 2025-04-14 04:24:39
Normal, 2025-04-14 04:24:39
Normal, 2025-04-14 04:24:39
Normal, 2025-04-14 04:24:39
Normal, 2025-04-14 04:24:40